,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
49215,2026-06-11,Mexico,South Africa,,,FIFA World Cup,Mexico City,Mexico,False
49216,2026-06-11,South Korea,Czech Republic,,,FIFA World Cup,Zapopan,Mexico,True
49217,2026-06-12,Canada,Bosnia and Herzegovina,,,FIFA World Cup,Toronto,Canada,False
49218,2026-06-12,United States,Paraguay,,,FIFA World Cup,Inglewood,United States,False
49219,2026-06-13,Qatar,Switzerland,,,FIFA World Cup,Santa Clara,United States,True
49220,2026-06-13,Brazil,Morocco,,,FIFA World Cup,East Rutherford,United States,True
49221,2026-06-13,Haiti,Scotland,,,FIFA World Cup,Foxborough,United States,True
49222,2026-06-13,Australia,Turkey,,,FIFA World Cup,Vancouver,Canada,True
49223,2026-06-14,Germany,Curaçao,,,FIFA World Cup,Houston,United States,True
49224,2026-06-14,Ivory Coast,Ecuador,,,FIFA World Cup,Philadelphia,United States,True
49225,2026-06-14,Netherlands,Japan,,,FIFA World Cup,Arlington,United States,True
49226,2026-06-14,Sweden,Tunisia,,,FIFA World Cup,Guadalupe,Mexico,True
49227,2026-06-15,Belgium,Egypt,,,FIFA World Cup,Seattle,United States,True
49228,2026-06-15,Iran,New Zealand,,,FIFA World Cup,Inglewood,United States,True
49229,2026-06-15,Spain,Cape Verde,,,FIFA World Cup,Atlanta,United States,True
49230,2026-06-15,Saudi Arabia,Uruguay,,,FIFA World Cup,Miami Gardens,United States,True
49231,2026-06-16,France,Senegal,,,FIFA World Cup,East Rutherford,United States,True
49232,2026-06-16,Iraq,Norway,,,FIFA World Cup,Foxborough,United States,True
49233,2026-06-16,Argentina,Algeria,,,FIFA World Cup,Kansas City,United States,True
49234,2026-06-16,Austria,Jordan,,,FIFA World Cup,Santa Clara,United States,True
49235,2026-06-17,Portugal,DR Congo,,,FIFA World Cup,Houston,United States,True
49236,2026-06-17,Uzbekistan,Colombia,,,FIFA World Cup,Mexico City,Mexico,True
49237,2026-06-17,England,Croatia,,,FIFA World Cup,Arlington,United States,True
49238,2026-06-17,Ghana,Panama,,,FIFA World Cup,Toronto,Canada,True
49239,2026-06-18,Czech Republic,South Africa,,,FIFA World Cup,Atlanta,United States,True
49240,2026-06-18,Mexico,South Korea,,,FIFA World Cup,Zapopan,Mexico,False
49241,2026-06-18,Switzerland,Bosnia and Herzegovina,,,FIFA World Cup,Inglewood,United States,True
49242,2026-06-18,Canada,Qatar,,,FIFA World Cup,Vancouver,Canada,False
49243,2026-06-19,Scotland,Morocco,,,FIFA World Cup,Foxborough,United States,True
49244,2026-06-19,Brazil,Haiti,,,FIFA World Cup,Philadelphia,United States,True
49245,2026-06-19,United States,Australia,,,FIFA World Cup,Seattle,United States,False
49246,2026-06-19,Turkey,Paraguay,,,FIFA World Cup,Santa Clara,United States,True
49247,2026-06-20,Germany,Ivory Coast,,,FIFA World Cup,Toronto,Canada,True
49248,2026-06-20,Ecuador,Curaçao,,,FIFA World Cup,Kansas City,United States,True
49249,2026-06-20,Netherlands,Sweden,,,FIFA World Cup,Houston,United States,True
49250,2026-06-20,Tunisia,Japan,,,FIFA World Cup,Guadalupe,Mexico,True
49251,2026-06-21,Belgium,Iran,,,FIFA World Cup,Inglewood,United States,True
49252,2026-06-21,New Zealand,Egypt,,,FIFA World Cup,Vancouver,Canada,True
49253,2026-06-21,Spain,Saudi Arabia,,,FIFA World Cup,Atlanta,United States,True
49254,2026-06-21,Uruguay,Cape Verde,,,FIFA World Cup,Miami Gardens,United States,True
49255,2026-06-22,France,Iraq,,,FIFA World Cup,Philadelphia,United States,True
49256,2026-06-22,Norway,Senegal,,,FIFA World Cup,East Rutherford,United States,True
49257,2026-06-22,Argentina,Austria,,,FIFA World Cup,Arlington,United States,True
49258,2026-06-22,Jordan,Algeria,,,FIFA World Cup,Santa Clara,United States,True
49259,2026-06-23,Portugal,Uzbekistan,,,FIFA World Cup,Houston,United States,True
49260,2026-06-23,Colombia,DR Congo,,,FIFA World Cup,Zapopan,Mexico,True
49261,2026-06-23,England,Ghana,,,FIFA World Cup,Foxborough,United States,True
49262,2026-06-23,Panama,Croatia,,,FIFA World Cup,Toronto,Canada,True
49263,2026-06-24,Mexico,Czech Republic,,,FIFA World Cup,Mexico City,Mexico,False
49264,2026-06-24,South Africa,South Korea,,,FIFA World Cup,Guadalupe,Mexico,True
49265,2026-06-24,Canada,Switzerland,,,FIFA World Cup,Vancouver,Canada,False
49266,2026-06-24,Bosnia and Herzegovina,Qatar,,,FIFA World Cup,Seattle,United States,True
49267,2026-06-24,Scotland,Brazil,,,FIFA World Cup,Miami Gardens,United States,True
49268,2026-06-24,Morocco,Haiti,,,FIFA World Cup,Atlanta,United States,True
49269,2026-06-25,United States,Turkey,,,FIFA World Cup,Inglewood,United States,False
49270,2026-06-25,Paraguay,Australia,,,FIFA World Cup,Santa Clara,United States,True
49271,2026-06-25,Curaçao,Ivory Coast,,,FIFA World Cup,Philadelphia,United States,True
49272,2026-06-25,Ecuador,Germany,,,FIFA World Cup,East Rutherford,United States,True
49273,2026-06-25,Japan,Sweden,,,FIFA World Cup,Arlington,United States,True
49274,2026-06-25,Tunisia,Netherlands,,,FIFA World Cup,Kansas City,United States,True
49275,2026-06-26,Egypt,Iran,,,FIFA World Cup,Seattle,United States,True
49276,2026-06-26,New Zealand,Belgium,,,FIFA World Cup,Vancouver,Canada,True
49277,2026-06-26,Cape Verde,Saudi Arabia,,,FIFA World Cup,Houston,United States,True
49278,2026-06-26,Uruguay,Spain,,,FIFA World Cup,Zapopan,Mexico,True
49279,2026-06-26,Norway,France,,,FIFA World Cup,Foxborough,United States,True
49280,2026-06-26,Senegal,Iraq,,,FIFA World Cup,Toronto,Canada,True
49281,2026-06-27,Algeria,Austria,,,FIFA World Cup,Kansas City,United States,True
49282,2026-06-27,Jordan,Argentina,,,FIFA World Cup,Arlington,United States,True
49283,2026-06-27,Colombia,Portugal,,,FIFA World Cup,Miami Gardens,United States,True
49284,2026-06-27,DR Congo,Uzbekistan,,,FIFA World Cup,Atlanta,United States,True
49285,2026-06-27,Panama,England,,,FIFA World Cup,East Rutherford,United States,True
49286,2026-06-27,Croatia,Ghana,,,FIFA World Cup,Philadelphia,United States,True
