nation,confederation
France,UEFA
Spain,UEFA
England,UEFA
Portugal,UEFA
Netherlands,UEFA
Belgium,UEFA
Germany,UEFA
Croatia,UEFA
Switzerland,UEFA
Austria,UEFA
Norway,UEFA
Sweden,UEFA
Scotland,UEFA
Czech Republic,UEFA
Bosnia and Herzegovina,UEFA
Turkey,UEFA
Argentina,CONMEBOL
Brazil,CONMEBOL
Colombia,CONMEBOL
Uruguay,CONMEBOL
Ecuador,CONMEBOL
Paraguay,CONMEBOL
Morocco,CAF
Senegal,CAF
Algeria,CAF
Ivory Coast,CAF
Egypt,CAF
Tunisia,CAF
South Africa,CAF
Ghana,CAF
DR Congo,CAF
Cape Verde,CAF
Japan,AFC
South Korea,AFC
Iran,AFC
Uzbekistan,AFC
Qatar,AFC
Saudi Arabia,AFC
Iraq,AFC
Jordan,AFC
Australia,AFC
Mexico,CONCACAF
United States,CONCACAF
Canada,CONCACAF
Panama,CONCACAF
Haiti,CONCACAF
Curaçao,CONCACAF
New Zealand,OFC
