date,home_team,away_team,home_confederation,away_confederation,home_elo_pre,away_elo_pre,city,country,neutral,tournament_weight,home_score,away_score,elo_diff
2000-01-22,Ghana,Cameroon,CAF,Unknown,1633.8602995871784,1700.5755195517036,Accra,Ghana,0,4,1.0,1.0,-66.7152199645252
2000-01-23,Vietnam,Guam,Unknown,Unknown,1407.0709787963262,1298.0239498552046,Hanoi,Vietnam,0,3,11.0,0.0,109.04702894112165
2000-01-23,South Africa,Gabon,CAF,Unknown,1687.9208954350918,1586.8079572779295,Kumasi,Ghana,1,4,3.0,1.0,101.11293815716226
2000-01-23,Nigeria,Tunisia,Unknown,CAF,1688.580628328942,1681.9542599246229,Lagos,Nigeria,0,4,4.0,2.0,6.626368404319237
2000-01-23,Egypt,Zambia,CAF,Unknown,1681.5665066818035,1670.341914013513,Kano,Nigeria,1,4,2.0,0.0,11.224592668290597
2000-01-23,China PR,Philippines,Unknown,Unknown,1778.997454632407,925.374804129888,Hanoi,Vietnam,1,3,8.0,0.0,853.6226505025189
2000-01-24,DR Congo,Algeria,CAF,CAF,1620.1148825816074,1634.7447801777644,Kumasi,Ghana,1,4,0.0,0.0,-14.62989759615698
2000-01-24,Ivory Coast,Togo,CAF,Unknown,1669.0247172321142,1473.846701576074,Accra,Ghana,1,4,1.0,1.0,195.1780156560401
2000-01-25,Burkina Faso,Senegal,Unknown,CAF,1539.545619443975,1611.105770436246,Kano,Nigeria,1,4,1.0,3.0,-71.56015099227102
2000-01-25,Morocco,Congo,CAF,Unknown,1817.5642770589284,1523.7002798979854,Lagos,Nigeria,1,4,1.0,0.0,293.863997160943
2000-01-26,Vietnam,Philippines,Unknown,Unknown,1432.4673388663823,924.6821935887572,Hanoi,Vietnam,0,3,3.0,0.0,507.78514527762513
2000-01-26,China PR,Guam,Unknown,Unknown,1779.6900651735375,1272.6275897851483,Hanoi,Vietnam,1,3,19.0,0.0,507.0624753883892
2000-01-27,Ghana,Togo,CAF,Unknown,1631.4725674535782,1486.5788930177112,Accra,Ghana,0,4,2.0,0.0,144.89367443586707
2000-01-27,South Africa,DR Congo,CAF,CAF,1714.8054229947236,1621.166966590965,Kumasi,Ghana,1,4,1.0,0.0,93.63845640375848
